temperature,dimension,avg_score,n
0.0,elaboration,2.1333333333333333,15
0.0,feasibility,1.8666666666666667,15
0.0,humour,1.8,15
0.0,originality,2.533333333333333,15
0.3,elaboration,2.0,15
0.3,feasibility,1.6666666666666667,15
0.3,humour,1.2666666666666666,15
0.3,originality,2.2666666666666666,15
0.7,elaboration,2.066666666666667,15
0.7,feasibility,1.7333333333333334,15
0.7,humour,1.4,15
0.7,originality,2.2666666666666666,15
1.0,elaboration,2.1333333333333333,15
1.0,feasibility,1.7333333333333334,15
1.0,humour,1.4666666666666666,15
1.0,originality,2.466666666666667,15
1.5,elaboration,2.1333333333333333,15
1.5,feasibility,2.3333333333333335,15
1.5,humour,2.0,15
1.5,originality,3.066666666666667,15
